date_day,Acre,Afghanistan,Africa,Alabama,Alagoas,Alaska,Albania,Alberta,Algeria,Amapá,Amazonas,Andorra,Angola,Anguilla,Anhui,Antigua and Barbuda,Argentina,Arizona,Arkansas,Armenia,Artania Cruise,Aruba,Asia,Australia,Australian Capital Territory,Austria,Azerbaijan,Baden-Württemberg,Bahamas,Bahia,Bahrain,Bangladesh,Barbados,Bavaria,Beijing,Belarus,Belgium,Belize,Benin,Berlin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brandenburg,Brazil,Bremen,British Columbia,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cabo Verde,California,Cambodia,Cameroon,Canada,CAR,Caribbean Netherlands,Cayman Islands,Ceará,Chad,Channel Islands,Chile,China,Chongqing,Colombia,Colorado,Congo,Connecticut,continent_name,Costa Rica,Croatia,Cuba,Curacao,Cyprus,Czechia,Delaware,Denmark,Diamond Princess,Djibouti,Dominica,Dominican Republic,DRC,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Espírito Santo,Estonia,Eswatini,Ethiopia,Europe,Faeroe Islands,Falkland Islands,Federal Bureau of Prisons,Federal District,Fiji,Finland,Florida,France,French Guiana,French Polynesia,From Diamond Princess cruise,From Grand Princess,Fujian,Gabon,Gambia,Gansu,Georgia,Germany,Ghana,Gibraltar,Goiás,Grand Princess,Greece,Greenland,Grenada,Guadeloupe,Guam,Guangdong,Guangxi,Guatemala,Guinea-Bissau,Guinea,Guizhou,Guyana,Hainan,Haiti,Hamburg,Hawaii,Hebei,Heilongjiang,Henan,Hesse,Honduras,Hong Kong,Hubei,Hunan,Hungary,Iceland,Idaho,Illinois,India,Indiana,Indonesia,Inner Mongolia,Iowa,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Ivory Coast,Jamaica,Japan,Jiangsu,Jiangxi,Jilin,Jordan,Kansas,Kazakhstan,Kentucky,Kenya,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Liaoning,Liberia,Libya,Liechtenstein,Lithuania,Louisiana,Lower Saxony,Luxembourg,Macau,Madagascar,Maine,Malawi,Malaysia,Maldives,Mali,Malta,Manitoba,Maranhão,Martinique,Maryland,Massachusetts,Mato Grosso do Sul,Mato Grosso,Mauritania,Mauritius,Mayotte,Mecklenburg-Vorpommern,Mexico,Michigan,Minas Gerais,Minnesota,Mississippi,Missouri,Moldova,Monaco,Mongolia,Montana,Montenegro,Montserrat,Morocco,Mozambique,MS Zaandam,Myanmar,Namibia,Navajo Nation,Nebraska,Nepal,Netherlands,Nevada,New Brunswick,New Caledonia,New Hampshire,New Jersey,New Mexico,New South Wales,New York,New Zealand,Newfoundland and Labrador,Nicaragua,Niger,Nigeria,Ningxia,North America,North Carolina,North Dakota,North Macedonia,North Rhine-Westphalia,Northern Mariana Islands,Northern Territory,Northwest Territories,Norway,Nova Scotia,Oceania,Ohio,Oklahoma,Oman,Ontario,Oregon,Pakistan,Palestine,Panama,Papua New Guinea,Paraguay,Paraná,Paraíba,Pará,Pennsylvania,Pernambuco,Peru,Philippines,Piauí,Poland,Portugal,Prince Edward Island,Puerto Rico,Qatar,Qinghai,Quebec,Queensland,Reunion,Rhineland-Palatinate,Rhode Island,Rio de Janeiro,Rio Grande do Norte,Rio Grande do Sul,Romania,Rondônia,Roraima,Russia,Rwanda,Saarland,Saint Kitts and Nevis,Saint Lucia,Saint Martin,Saint Pierre Miquelon,San Marino,Santa Catarina,Sao Tome and Principe,Saskatchewan,Saudi Arabia,Saxony-Anhalt,Saxony,Schleswig-Holstein,Senegal,Serbia,Sergipe,Seychelles,Shaanxi,Shandong,Shanghai,Shanxi,Sichuan,Sierra Leone,Singapore,Sint Maarten,Slovakia,Slovenia,Somalia,South Africa,South America,South Australia,South Carolina,South Dakota,South Korea,South Sudan,Spain,Sri Lanka,St. Barth,St. Vincent Grenadines,Sudan,Suriname,Sweden,Switzerland,Syria,São Paulo,Taiwan,Tanzania,Tasmania,Tennessee,Texas,Thailand,The World,Thuringia,Tianjin,Tibet,Timor-Leste,Tocantins,Togo,Trinidad and Tobago,Tunisia,Turkey,Turks and Caicos,U.S. Virgin Islands,Uganda,UK,Ukraine,United Arab Emirates,Uruguay,US Military,US Virgin Islands,US,Utah,Uzbekistan,Vatican City,Venezuela,Vermont,Veteran Affair,Victoria,Vietnam,Virginia,WA,Washington DC,West Virginia,Western Australia,Western Sahara,Wisconsin,World,Worldwide,Wyoming,Xinjiang,Yemen,Yokohama,Yukon,Yunnan,Zambia,Zhejiang,Zimbabwe
2020-01-21,0,0,1101,148,0,6,0,0,132,0,0,0,0,0,0,0,0,230,0,0,0.0,0,7117,0,0,0,39,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,843,0,0,0,0,12,0,0,5,300,0,0,1288,0,0,0,0,6,5,552,0,0,0,0,0,315,986.0,8,8,48,0,15,37,413,0,0,0,0,123,0,1018,260,0,57,0,0,0,6,0,8910,0,0,273,0,0,0,710,69,0,0,0.0,0.0,0,0,0,0,598,673,121,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2217,1909,627,0,0,508,0,81,229,1,139,2091,0,0,0,0,0,0,0,104,45,0,11,0,0,0,0,0,0,8,0,0,0,218,0,12,0,0,17,0,0,5,16,0,0,0,0,626,1840,0,0,0,0,59,0,0,1051,0,370,248,102,157,0,0,2,0,0,6,0,0,3,0,0,149,0,171,71,0,0,0,2668,0,0,2915,0,0,0,0,0,0,23246,299,49,22,0,0,0,0,20,15,0,444,129,0,494,0,533,0,0,0,0,0,0,0,1489,0,0,0,0,129,295,0,11,677,0,778,0,0,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,1266,0,0,0,87,222,0,0,0,0,0,0,0,5,0,1,0,0,48,203,2413,0,0,0,0,28,0,27,0,0,43,0,695,0,0,0,0,0,0,142,900,0,63387.0,0,0,0,0,0,0,0,0,2392,0,0.0,0,3996,0,0,0,0,0,21778,109,0,1,0,7,113,0,0,801,28,102,2,0,0,208,1099080.0,42787,0,0,0,0,0,0,0,0,0
2020-01-22,0,125,1464,118,0,4,24,216,135,0,0,5,1,0,0,0,111,191,68,59,0.0,0,10814,11,0,83,33,0,0,0,163,549,1,0,0,919,647,0,0,0,1,0,64,20,0,0,4346,0,50,0,0,39,3,0,3,1480,0,84,1583,31,0,0,0,0,0,482,26,0,218,438,7,728,1074.0,2,9,20,0,5,41,128,153,0,12,0,158,12,521,248,22,0,0,0,13,6,2,17965,0,0,258,0,0,45,606,3742,13,1,0.0,-2.0,0,35,0,0,731,977,0,0,0,0,17,0,0,0,0,0,0,30,20,167,0,0,0,2,0,1,0,3,0,0,41,0,0,0,66,0,20,1982,1474,949,415,1,392,1112,27,386,0,123,1739,14,14,173,0,0,0,2,196,191,78,0,152,13,0,18,7,0,9,0,0,-105,295,0,6,0,4,8,2,31,31,19,8,2,0,0,906,1524,0,0,0,2,0,0,852,433,0,209,183,187,73,1,0,1,0,0,131,0,0,0,0,0,330,2,400,0,0,0,74,2150,99,5,4746,3,0,0,5,64,0,27359,441,75,13,0,0,0,0,72,27,14,353,27,82,402,43,751,0,242,0,2,0,0,0,1032,0,1182,181,0,328,163,0,18,0,0,874,0,1,0,269,0,0,0,277,0,0,6411,16,0,0,0,0,0,0,0,4,12,1289,0,0,0,65,233,0,0,20,0,2,0,0,6,528,0,3,6,44,247,6958,0,120,33,14,0,-4071,25,0,1,38,0,286,203,0,0,0,0,3,292,353,7,72607.0,0,0,0,0,0,1,0,18,2131,1,11.0,0,4309,401,1031,14,0,0,24389,113,52,0,4,4,456,2,0,568,418,51,22,1,0,170,0.0,64574,18,0,0,0,0,0,7,0,1
2020-01-23,0,172,1390,208,0,2,0,247,126,0,0,0,1,0,0,0,112,248,92,62,0.0,0,10610,9,0,49,0,0,2,0,59,497,0,0,0,826,553,0,10,0,0,0,84,49,0,0,3776,0,0,0,0,58,3,0,16,1094,0,103,1662,0,0,0,0,0,0,473,11,0,237,473,0,686,978.0,2,14,32,0,7,56,458,253,0,15,0,209,17,0,215,25,0,0,0,4,3,1,33348,0,0,71,0,0,119,693,612,0,0,0.0,7.0,0,0,0,0,259,1268,271,5,0,0,11,0,0,0,0,2,0,27,1,0,0,0,0,2,0,2,0,6,0,0,34,0,0,0,83,2,10,2126,1481,617,214,1,384,991,57,701,0,68,2324,39,45,210,0,0,1,3,142,139,171,20,213,13,0,6,3,0,4,0,1,11,261,0,12,0,1,25,0,40,37,19,2,4,0,0,815,1590,0,0,0,1,0,0,835,563,0,156,193,185,104,0,0,3,0,0,68,6,0,0,0,0,306,1,655,195,0,0,67,3515,66,2,6206,-1,1,1,12,91,0,30321,229,64,0,0,0,0,0,28,8,8,385,60,51,556,58,605,0,241,0,0,0,0,0,1011,0,2186,198,0,366,472,0,64,957,0,842,3,0,0,310,0,0,0,303,0,0,6198,8,0,0,0,0,0,0,0,0,4,1223,0,0,0,57,263,0,0,0,0,1,0,0,7,799,1,2,6,46,185,6880,0,245,65,10,0,12440,96,0,0,24,0,463,167,1,0,0,0,4,478,811,9,80436.0,0,0,0,0,0,2,1,10,2357,0,0.0,4,4463,392,0,10,0,2,27202,175,22,0,2,8,129,0,0,604,215,142,30,0,0,224,0.0,82557,11,0,0,0,0,0,4,0,0
2020-01-24,0,68,1272,187,0,0,14,216,129,0,0,7,0,0,0,0,173,241,99,69,0.0,0,13086,16,0,77,53,0,5,0,70,418,2,0,0,873,809,0,0,0,10,0,59,30,0,0,5281,0,95,1,0,56,0,0,2,1271,0,88,1452,3,0,0,0,6,2,552,0,0,261,712,0,647,821.0,6,7,52,0,6,79,134,235,0,9,0,177,26,0,227,24,44,0,0,8,16,1,27247,0,0,62,0,0,101,306,1660,0,0,-6.0,0.0,0,4,0,0,731,1459,0,3,0,0,16,0,3,0,0,0,0,43,0,42,0,1,0,0,0,3,0,0,0,0,36,0,0,0,57,1,17,2119,1966,714,275,0,647,1153,55,377,0,250,2357,34,17,402,0,0,0,3,176,127,128,7,183,17,0,8,3,0,3,0,0,12,372,0,16,0,1,25,1,38,40,45,0,4,0,5,1150,2379,0,0,0,0,47,0,970,574,0,261,284,147,194,0,1,1,2,0,158,5,0,2,0,0,298,2,655,141,0,0,77,3327,139,8,8176,9,1,1,3,87,0,34726,478,55,60,0,0,0,0,36,15,25,418,73,93,462,76,535,-142,200,0,5,0,0,0,1397,0,3683,285,0,328,595,0,31,929,0,651,4,5,0,430,0,0,0,401,0,0,6361,7,0,0,0,0,0,25,0,0,8,1197,0,0,0,0,296,0,0,0,0,0,0,0,4,931,0,6,8,62,141,10053,0,183,107,10,1,3995,51,0,0,39,0,610,0,0,0,0,0,1,461,515,15,94669.0,0,0,0,0,0,6,0,17,2861,0,0.0,0,4913,492,1068,33,0,1,31722,166,29,0,5,16,203,3,0,772,260,171,15,0,0,331,0.0,86409,18,0,0,0,0,0,0,0,2
2020-01-25,0,184,1604,194,0,2,34,297,120,0,0,8,0,0,0,0,172,273,211,81,0.0,0,12757,19,1,77,44,0,1,0,301,309,1,0,0,1568,1032,0,0,0,0,0,104,65,0,0,3813,0,29,0,0,63,13,0,6,1794,0,0,1620,0,0,4,0,0,2,494,15,0,320,978,14,836,893.0,1,28,50,2,9,85,134,0,0,13,0,206,22,11536,201,13,130,0,0,30,4,5,25380,0,1,8,0,0,80,885,1645,4,0,8.0,1.0,0,5,0,0,608,1747,125,0,0,0,27,0,0,0,2,0,0,46,2,92,0,3,0,0,0,5,0,2,0,0,29,2,0,0,60,0,34,2721,1028,642,396,3,521,1134,31,577,1,266,3021,73,31,461,0,0,1,4,238,191,298,16,493,9,0,20,8,0,0,1,0,16,401,0,30,0,0,28,0,51,21,16,1,1,0,0,879,4946,0,0,0,0,0,0,1239,1345,0,243,281,282,184,0,1,2,0,0,197,19,0,5,0,180,222,1,806,190,0,0,50,2171,142,12,8152,5,0,0,10,114,0,40422,470,39,26,0,0,0,0,62,23,24,475,104,115,482,50,1033,4,172,0,3,0,0,0,1829,0,734,102,0,308,444,0,-140,833,0,778,0,0,0,443,0,0,0,218,0,0,5966,22,0,0,0,0,0,12,0,0,10,1172,0,0,0,69,207,0,0,7,0,0,0,0,18,618,0,13,15,0,267,17197,0,153,84,10,0,0,47,0,0,0,0,812,217,0,0,1,15,2,462,992,53,88440.0,0,1,0,1,0,2,0,4,3122,0,3.0,1,5386,478,525,6,312,0,37007,170,58,0,7,2,255,3,2,596,293,167,29,1,0,304,0.0,97384,20,0,0,0,0,1,8,0,0
2020-01-26,0,53,1635,222,0,2,15,319,97,0,0,0,0,0,0,0,147,299,207,73,0.0,0,12197,17,1,69,30,0,2,0,190,503,0,0,0,741,1496,0,0,0,0,0,31,8,0,0,3882,0,29,0,0,90,7,0,9,1851,0,267,1636,2,0,0,0,7,23,516,6,0,205,387,0,631,679.0,5,31,46,0,5,52,108,137,0,12,0,243,17,333,232,11,0,0,0,13,5,1,28407,0,0,977,0,0,111,1062,-1694,0,0,0.0,1.0,0,1,0,0,781,2534,0,1,0,0,55,0,0,1,3,1,0,42,0,101,0,3,0,10,0,4,0,3,0,0,43,0,0,0,99,4,34,1828,1705,601,436,0,176,1168,46,936,0,290,2646,52,5,418,0,0,1,2,303,127,108,17,0,25,0,6,8,0,16,0,0,12,481,0,11,0,1,30,0,88,22,16,2,5,0,6,962,3079,0,0,0,2,28,0,1089,1330,0,220,259,200,148,0,1,3,3,0,155,5,0,12,0,-6,389,1,887,127,0,0,82,4111,169,6,7408,5,0,1,9,108,0,50614,275,30,0,0,14,0,0,63,55,22,577,123,74,350,68,642,0,174,0,7,0,0,0,2167,0,1664,211,0,413,371,0,38,761,0,873,0,2,0,415,0,0,0,321,0,0,5849,1,0,0,0,0,0,13,0,0,5,1158,0,0,0,66,162,0,0,0,0,1,0,0,3,897,0,35,7,42,318,6809,0,156,98,6,1,6740,39,0,1,12,0,751,181,0,0,1,0,2,424,876,15,80258.0,0,0,0,0,0,0,0,9,3116,0,1.0,11,4583,477,0,8,5901,0,47299,167,62,0,13,2,6273,6,0,732,149,155,18,2,0,207,0.0,99684,6,0,0,0,0,0,2,0,1
2020-01-27,0,83,1055,283,0,6,29,306,99,0,0,6,1,0,0,0,144,217,130,50,0.0,3,12915,8,0,77,38,0,5,0,54,414,1,0,0,0,908,0,0,0,1,1,63,45,2,0,2980,0,71,0,0,66,9,0,5,1865,0,0,2258,0,0,0,0,0,2,464,8,0,207,431,21,2109,635.0,12,42,52,0,6,95,269,161,0,29,0,256,18,452,169,13,1,0,0,33,0,0,27755,2,1,0,0,0,155,717,1827,10,0,0.0,1.0,0,10,0,0,936,2069,0,0,0,0,7,0,1,0,0,2,0,26,0,73,0,1,0,4,0,6,0,4,0,0,9,2,0,0,116,7,36,2050,1619,341,357,0,107,1030,29,631,0,266,3370,36,19,438,0,0,1,7,208,160,181,7,151,19,0,17,6,0,0,1,0,28,404,0,36,0,0,19,10,71,8,35,1,2,0,0,582,1745,0,0,0,1,15,0,1043,999,0,155,178,164,164,0,0,2,2,0,160,2,0,6,0,45,91,2,708,144,0,0,98,3527,138,5,5165,0,-1,0,5,91,0,32683,410,35,69,0,0,0,0,97,35,8,392,87,102,1000,57,764,6,171,0,0,0,0,0,873,0,1413,271,0,312,603,0,463,623,0,839,2,0,0,341,0,0,0,386,0,0,4774,3,0,0,0,0,0,12,0,0,6,1141,0,0,0,37,224,0,0,0,0,1,0,0,11,1037,5,81,13,0,170,5751,0,153,103,8,0,4635,13,0,0,22,0,682,228,0,0,1,0,0,448,799,13,86155.0,0,0,0,0,0,2,0,8,3083,0,0.0,2,4451,578,1001,6,0,1,28804,148,24,0,10,5,0,1,0,636,141,108,30,0,0,220,0.0,80167,6,0,0,0,0,0,0,0,0
2020-01-28,0,51,1420,249,0,8,25,187,93,0,0,0,0,0,0,1,113,188,291,72,0.0,0,13011,6,0,52,44,0,5,0,21,390,0,0,0,1017,933,0,0,0,12,0,11,26,0,0,2554,0,25,0,0,49,19,6,1,1979,0,0,1472,2,0,0,0,0,8,325,11,0,172,348,5,545,937.0,7,27,50,0,12,127,186,217,0,99,0,80,9,270,157,12,4,0,0,7,7,2,27953,0,0,0,0,0,115,811,2667,0,1,0.0,0.0,0,36,0,0,768,1639,112,0,0,0,156,0,0,0,0,0,0,22,0,66,0,0,0,1,0,2,0,8,0,0,16,4,0,0,70,5,30,1551,1520,409,283,0,482,1194,28,388,7,443,2729,37,10,377,0,0,0,3,145,80,142,15,168,22,0,13,5,0,2,8,0,20,331,0,60,0,0,13,6,50,4,12,1,1,0,1,509,1556,0,0,0,0,27,0,729,967,0,97,204,179,66,0,1,4,1,0,191,0,0,2,0,0,74,13,729,107,0,0,43,3581,101,2,5278,6,0,0,2,117,0,28861,156,17,0,0,0,0,0,85,16,13,806,127,106,432,46,533,13,163,1,5,0,0,0,1334,0,1512,111,0,297,516,0,-337,608,0,807,0,2,0,410,0,0,0,468,0,0,5236,3,0,0,0,1,0,14,0,0,4,1147,0,0,0,65,260,0,0,2,0,1,0,0,7,1016,1,45,18,49,165,4974,1,169,70,11,0,4211,12,0,1,33,0,545,324,3,0,1,30,3,156,888,15,74239.0,0,0,0,0,0,2,1,17,4611,0,0.0,5,4301,467,0,8,0,0,26276,84,35,0,3,2,0,0,0,640,238,171,25,0,0,84,0.0,76191,12,0,0,0,0,0,4,0,3
2020-01-29,0,66,1217,175,0,2,25,105,89,0,0,4,0,0,0,0,90,135,190,62,0.0,0,14002,26,0,78,38,0,0,0,57,434,0,0,0,1485,973,0,19,0,0,1,34,33,0,0,1670,0,52,0,0,51,5,0,6,2335,0,146,382,0,0,5,0,0,0,419,32,0,185,382,17,1853,760.0,2,10,52,0,5,127,207,180,0,0,0,284,23,660,189,7,0,0,0,17,2,3,27362,0,0,0,0,0,146,744,2489,0,1,1.0,0.0,0,11,0,0,1097,1322,0,0,0,0,10,0,0,0,0,1,0,5,0,43,0,1,0,10,0,4,0,8,0,0,17,4,0,0,114,2,64,1151,1043,477,375,0,257,1297,35,401,2,229,2256,32,27,338,0,0,2,8,124,210,90,11,85,22,0,9,0,0,8,0,0,24,595,0,8,0,0,8,0,57,30,22,12,0,0,0,837,1566,0,0,0,0,13,0,511,576,0,114,238,156,76,0,1,0,2,0,196,0,0,8,0,124,174,1,750,102,0,0,55,3505,126,6,4894,5,0,0,7,38,0,29789,374,42,6,0,0,0,0,53,0,31,1317,81,98,223,46,798,12,191,0,0,0,0,0,1103,0,697,140,0,284,657,0,39,518,0,0,5,0,0,384,0,0,0,306,0,0,5642,0,0,0,0,0,0,1,0,0,0,1122,0,0,0,0,312,0,0,21,0,0,0,0,8,1111,0,38,0,73,142,3793,2,62,50,9,0,3968,6,0,0,15,0,392,0,0,0,3,84,5,168,677,19,70180.0,0,0,0,1,0,0,0,5,4674,0,1.0,1,4676,415,974,7,0,0,28296,144,75,1,29,3,0,7,0,448,538,134,18,1,0,195,0.0,77706,116,0,0,0,2,0,9,0,0
2020-01-30,0,33,1229,180,0,5,22,241,95,0,0,9,0,0,0,0,102,209,4,48,0.0,1,12550,13,1,114,25,0,5,0,122,492,0,0,0,0,1487,0,0,0,0,0,44,24,0,0,2219,0,0,1,0,31,11,0,0,719,0,0,3165,0,2,0,0,0,4,358,12,0,171,290,0,412,661.0,5,39,49,0,6,130,0,273,0,114,0,345,0,446,112,17,0,0,0,7,0,3,26855,0,0,0,0,1,85,822,1101,1,0,0.0,-1.0,0,1,1,0,460,1964,208,0,0,0,0,0,0,0,0,1,0,32,4,61,0,2,0,3,0,6,0,7,0,0,5,0,0,0,68,11,4,1196,1250,570,185,1,389,1294,26,493,1,292,3047,46,23,501,0,0,0,4,87,96,253,8,80,14,0,12,4,0,15,2,2,28,348,0,13,0,1,20,0,36,1,8,4,1,0,0,521,1705,0,0,0,3,17,0,764,633,0,143,300,211,121,0,1,7,3,0,170,4,0,4,0,70,187,0,1066,84,0,0,50,3702,47,6,5847,9,0,1,9,85,0,29169,229,57,18,0,0,0,0,34,72,23,1380,29,144,1050,66,425,18,194,0,2,0,0,0,1107,0,1208,200,0,371,0,0,95,567,0,1798,0,1,0,215,0,0,0,190,0,0,4268,3,0,1,0,0,0,0,0,0,3,1088,0,0,0,27,324,0,0,0,0,3,0,0,5,1426,3,0,5,29,124,4595,0,129,93,13,0,4266,47,0,0,26,0,563,540,1,0,2,23,5,308,505,27,84963.0,0,0,0,3,0,0,0,13,3977,0,0.0,0,5850,261,0,11,0,0,24555,136,87,0,29,10,0,1,0,489,-116,127,64,0,0,147,0.0,72909,4,0,0,0,0,0,0,0,0
